q	t	bitscore	evalue
YP_009592732.1	YP_010090062.1	724.2	6.1e-266
YP_009592732.1	YP_010066176.1	532.7	3e-190
YP_009592732.1	YP_010074542.1	532.3	4.3e-190
YP_009592732.1	YP_010075765.1	532.3	4.3e-190
YP_009592732.1	YP_009625025.1	531.9	6.1e-190
YP_009592732.1	YP_009180725.1	531.9	6.1e-190
YP_009592732.1	YP_009278947.1	531.9	6.1e-190
YP_009592732.1	YP_010076424.1	531.9	6.1e-190
YP_009592732.1	YP_010077106.1	531.9	6.1e-190
YP_009592732.1	YP_009146678.1	455.3	1.2e-159
YP_009592732.1	YP_009289565.1	395.2	7.2e-136
YP_009592732.1	YP_009203965.1	457.6	1.4e-160
YP_009592732.1	YP_009190798.1	394.8	1e-135
YP_009592732.1	YP_009286577.1	438.7	4e-153
YP_009592732.1	YP_009288910.1	392.5	8.2e-135
YP_009592732.1	YP_010091845.1	432.6	7.9e-151
YP_009592732.1	YP_010089554.1	394.4	1.4e-135
YP_009592732.1	YP_010090532.1	231.5	4.5e-72
YP_009592732.1	YP_009615701.1	436.8	2.3e-152
YP_009592732.1	YP_010094109.1	444.1	2.2e-155
YP_009592732.1	YP_009618311.1	455.3	1.2e-159
YP_009592732.1	YP_010098464.1	394.4	1.4e-135
YP_010278688.1	YP_003969353.1	213.0	1.2e-66
YP_010278688.1	YP_009011693.1	212.6	1.7e-66
YP_010278688.1	YP_010089819.1	342.8	1.2e-117
YP_010278688.1	NP_861919.1	620.9	1.3e-227
YP_010278688.1	YP_007236053.1	342.4	1.7e-117
YP_010278688.1	YP_009056802.1	629.4	5.6e-231
YP_010278688.1	YP_009211660.1	388.7	1.4e-135
YP_010278688.1	YP_009037549.1	620.5	1.8e-227
YP_010278688.1	YP_009030276.1	303.5	3.2e-102
YP_010278688.1	YP_009592739.1	622.9	2.2e-228
YP_010278688.1	YP_009593217.1	622.9	2.2e-228
YP_010278688.1	YP_009100761.1	622.9	2.2e-228
YP_010278688.1	YP_009200480.1	342.4	1.7e-117
YP_010278688.1	YP_010088304.1	634.0	8.3e-233
YP_010278688.1	YP_009225036.1	631.7	6.8e-232
YP_010278688.1	YP_009203958.1	349.4	2.7e-120
YP_010278688.1	YP_009280084.1	235.3	1.8e-75
YP_010278688.1	YP_009289065.1	624.4	5.4e-229
YP_010278688.1	YP_010090055.1	627.5	3.2e-230
YP_010278688.1	YP_009608447.1	624.8	3.8e-229
YP_010278688.1	YP_010096489.1	572.8	1.4e-208
YP_010278688.1	YP_010093270.1	623.2	1.5e-228
YP_010278688.1	YP_010099961.1	535.0	2.4e-194
YP_010278688.1	YP_010076305.1	627.1	4.6e-230
YP_010278688.1	YP_009883937.1	305.4	7.7e-103
YP_010278688.1	YP_010068923.1	625.9	1.3e-229
YP_010278688.1	YP_010069509.1	510.8	5.3e-184
YP_010278688.1	YP_010068708.1	507.7	8.8e-183
YP_010278688.1	YP_010068454.1	507.3	1.2e-182
YP_010278688.1	YP_009619027.1	506.1	3.6e-182
YP_010278688.1	YP_003934859.1	505.0	1e-181
YP_010278688.1	YP_010091253.1	504.2	2e-181
YP_010278688.1	YP_010073595.1	501.5	2.3e-180
YP_010278688.1	YP_010068127.1	501.5	2.4e-180
YP_009903071.1	YP_009666188.1	248.1	1.4e-84
YP_009903071.1	YP_009624441.1	209.1	3.9e-69
YP_009903071.1	YP_001285498.1	231.9	8.6e-78
YP_009903071.1	YP_398948.1	212.2	3.6e-70
YP_009903071.1	YP_007005403.1	186.0	4e-60
YP_009903071.1	YP_009226025.1	328.2	2.5e-116
YP_009903071.1	YP_006987881.1	135.2	3.7e-40
YP_009903071.1	YP_009197864.1	332.4	5.3e-118
YP_009903071.1	YP_009204821.1	214.9	1.7e-71
YP_009903071.1	YP_009195397.1	322.0	7.3e-114
YP_009903071.1	YP_009284875.1	327.8	3.6e-116
YP_009903071.1	YP_009196690.1	332.4	5.3e-118
YP_009903071.1	YP_009594145.1	219.9	2.9e-73
YP_009903071.1	YP_009280800.1	238.4	2.2e-80
YP_009903071.1	YP_009284638.1	207.2	1.1e-67
YP_009903071.1	YP_009792385.1	204.9	1.6e-67
YP_009903071.1	YP_009787374.1	203.8	3.4e-67
YP_009903071.1	YP_009787589.1	214.9	1.7e-71
YP_009903071.1	YP_009787672.1	246.5	5.5e-84
YP_009903071.1	YP_277501.1	138.3	2.3e-41
YP_009903071.1	YP_003880.1	215.7	1.4e-71
YP_009903071.1	YP_009790391.1	260.8	1.3e-89
YP_009903071.1	YP_009791584.1	328.2	2.5e-116
YP_009903071.1	YP_009792076.1	211.5	4.1e-70
YP_009903071.1	YP_009792130.1	332.4	5.3e-118
YP_009903071.1	YP_009796055.1	242.3	6.4e-82
YP_009903071.1	YP_009796974.1	288.9	4e-101
YP_009903071.1	YP_009799476.1	135.2	6e-41
YP_009903071.1	YP_009903172.1	330.5	3.1e-117
YP_009903071.1	YP_009799825.1	242.3	6.4e-82
YP_009903071.1	YP_009803972.1	218.4	1.2e-72
YP_009903071.1	YP_009807432.1	330.9	2.2e-117
YP_009903071.1	YP_009817820.1	330.9	2.2e-117
YP_009903071.1	YP_009808819.1	331.6	1.1e-117
YP_009903071.1	YP_009808744.1	332.4	5.3e-118
YP_009903071.1	YP_009808665.1	332.4	5.3e-118
YP_009903071.1	YP_009812431.1	238.4	2.2e-80
YP_009903071.1	YP_009820091.1	325.9	2.1e-115
YP_009903071.1	YP_009903272.1	332.4	5.3e-118
YP_009903071.1	YP_009814941.1	183.7	3.3e-59
YP_009903071.1	YP_009800855.1	252.7	3.4e-86
YP_009903071.1	YP_009789919.1	226.9	1.6e-75
YP_009903071.1	YP_009818825.1	329.7	6.2e-117
YP_009903071.1	YP_009821315.1	188.7	3.4e-61
YP_009903071.1	YP_009821014.1	204.9	1.6e-67
YP_009903071.1	YP_009903421.1	245.0	2.2e-83
YP_009903071.1	YP_009903499.1	330.1	4.4e-117
YP_009903071.1	YP_009902821.1	334.3	9.2e-119
YP_009903071.1	YP_009903331.1	334.3	9.2e-119
YP_009903071.1	YP_009902951.1	332.8	3.8e-118
YP_009903071.1	YP_009902430.1	332.4	5.3e-118
YP_009903071.1	YP_009903094.1	329.3	8.9e-117
YP_009903071.1	YP_010115743.1	313.5	1.6e-110
YP_009903071.1	YP_009902596.1	246.5	5.5e-84
YP_009903071.1	YP_009902769.1	246.1	7.8e-84
YP_009903071.1	YP_009902687.1	246.5	5.5e-84
YP_009903071.1	YP_009902510.1	246.5	5.5e-84
YP_009903071.1	YP_009148777.1	238.0	3.2e-80
YP_009289065.1	YP_004301246.1	209.9	1.8e-65
YP_009289065.1	YP_003969353.1	214.9	2.1e-67
YP_009289065.1	YP_009011693.1	213.4	8.5e-67
YP_009289065.1	NP_861919.1	617.8	2.1e-226
YP_009289065.1	NP_891791.1	252.3	3.3e-82
YP_009289065.1	YP_004300799.1	242.3	4.5e-78
YP_009289065.1	YP_001469564.1	250.8	1.3e-81
YP_009289065.1	YP_002922299.1	249.6	3.8e-81
YP_009289065.1	YP_009118905.1	247.7	2.1e-80
YP_009289065.1	YP_009056802.1	624.8	3.8e-229
YP_009289065.1	YP_009211660.1	385.6	2.3e-134
YP_009289065.1	YP_009037549.1	626.3	9.3e-230
YP_009289065.1	YP_009030276.1	305.1	7.8e-103
YP_009289065.1	YP_009592739.1	622.5	3.1e-228
YP_009289065.1	YP_009593217.1	622.5	3.1e-228
YP_009289065.1	YP_009100761.1	625.9	1.3e-229
YP_009289065.1	YP_010088304.1	624.4	5.4e-229
YP_009289065.1	YP_009225036.1	624.4	5.4e-229
YP_009289065.1	YP_009280084.1	235.7	1.3e-75
YP_009289065.1	YP_010093270.1	628.6	1.1e-230
YP_009289065.1	YP_010090055.1	627.5	3.2e-230
YP_009289065.1	YP_010068923.1	626.3	9.3e-230
YP_009289065.1	YP_009608447.1	624.8	3.8e-229
YP_009289065.1	YP_010076305.1	619.8	3.6e-227
YP_009289065.1	YP_010096489.1	572.4	2e-208
YP_009289065.1	YP_010099961.1	526.9	3.8e-191
YP_009289065.1	YP_010069509.1	510.4	7.5e-184
YP_009289065.1	YP_010091253.1	506.5	2.4e-182
YP_009289065.1	YP_010068708.1	506.5	2.5e-182
YP_009289065.1	YP_010068454.1	506.1	3.6e-182
YP_009289065.1	YP_009619027.1	505.8	5.1e-182
YP_009289065.1	YP_010073595.1	502.3	1.1e-180
YP_009289065.1	YP_010072232.1	501.5	2.4e-180
YP_009289065.1	YP_010068127.1	501.5	2.4e-180
YP_009289065.1	YP_009602181.1	249.6	3.8e-81
YP_009289065.1	YP_010097242.1	248.8	7.5e-81
YP_009289065.1	YP_009883937.1	308.5	4.7e-104
YP_009168040.1	YP_002854174.1	624.8	4.2e-229
YP_009168040.1	YP_009167588.1	624.8	4.2e-229
YP_009168040.1	YP_007004960.1	632.5	3.9e-232
YP_009168040.1	YP_009102420.1	625.5	2.2e-229
YP_009168040.1	YP_010099697.1	624.8	4.4e-229
YP_009168040.1	YP_010091524.1	622.1	5.2e-228
YP_009168040.1	YP_010073871.1	620.9	1.4e-227
YP_009168040.1	YP_009278941.1	620.5	2.1e-227
YP_009168040.1	YP_010067900.1	620.9	1.5e-227
YP_009168040.1	YP_010228740.1	620.2	3e-227
YP_009168040.1	YP_010069241.1	618.6	1.2e-226
YP_009168040.1	YP_009277591.1	617.8	2.5e-226
YP_009168040.1	YP_010070873.1	617.8	2.5e-226
YP_009168040.1	YP_010070323.1	617.5	3.5e-226
YP_009168040.1	YP_010077211.1	615.9	1.4e-225
YP_009168040.1	YP_010077456.1	615.9	1.4e-225
YP_009168040.1	YP_009030827.1	615.1	2.8e-225
YP_009168040.1	YP_009288583.1	614.4	5.8e-225
YP_009168040.1	YP_010070599.1	613.2	1.7e-224
YP_009168040.1	YP_010067636.1	612.8	2.4e-224
YP_009168040.1	YP_010076418.1	610.5	1.9e-223
YP_009168040.1	YP_009284242.1	610.1	2.7e-223
YP_009168040.1	YP_010069509.1	609.4	5.5e-223
YP_009168040.1	YP_010068708.1	604.7	3.7e-221
YP_009168040.1	YP_009190792.1	341.7	3e-117
YP_009168040.1	YP_009288904.1	341.7	3e-117
YP_009168040.1	YP_010076835.1	595.1	2.4e-217
YP_009168040.1	YP_009619027.1	594.7	3.4e-217
YP_009168040.1	YP_010068454.1	597.4	3e-218
YP_009168040.1	YP_010091253.1	585.9	1.1e-213
YP_009168040.1	YP_010071691.1	63.9	9.5e-14
YP_009168040.1	YP_009855935.1	396.7	6.1e-139
YP_009201709.1	YP_009952319.1	136.7	5.3e-40
YP_009201709.1	YP_009954062.1	137.9	1.8e-40
YP_009201709.1	YP_009951457.1	100.9	2.1e-27
YP_009201709.1	YP_009953964.1	120.2	1.1e-33
YP_009201709.1	YP_009951262.1	103.2	3.1e-28
YP_009201709.1	YP_009953281.1	148.3	1.6e-44
YP_009201709.1	YP_009952873.1	144.4	5.1e-43
YP_009201709.1	YP_009950880.1	206.8	2e-67
YP_009201709.1	YP_009952415.1	143.7	1e-42
YP_009201709.1	YP_009950786.1	206.8	2e-67
YP_009201709.1	YP_009952776.1	136.0	1.1e-39
YP_009201709.1	YP_009950974.1	347.4	8.2e-123
YP_009201709.1	YP_009953870.1	116.7	8e-32
YP_009201709.1	YP_009953173.1	109.0	5.3e-30
YP_009201709.1	YP_009953669.1	115.9	4.1e-32
YP_009201709.1	YP_009954161.1	104.8	3.7e-28
YP_009201709.1	YP_009954360.1	142.5	2.9e-42
YP_009201709.1	YP_009951654.1	85.5	2.3e-21
YP_009201709.1	YP_009953474.1	107.1	1.2e-28
YP_009201709.1	YP_009952968.1	104.8	4.1e-28
YP_009201709.1	YP_009614103.1	143.3	1.5e-42
YP_009201709.1	YP_009638072.1	141.4	8.2e-42
YP_009201709.1	YP_009043676.1	179.5	2.2e-56
YP_009201709.1	YP_009282319.1	179.1	3.1e-56
YP_009201709.1	YP_009215584.1	140.2	2.3e-41
YP_009201709.1	YP_009951065.1	115.9	1e-32
YP_009201709.1	YP_009953074.1	126.3	1.7e-35
YP_009201709.1	YP_009016437.1	156.4	1.1e-47
YP_009201709.1	YP_009950689.1	169.9	8.8e-54
YP_009201709.1	YP_009212822.1	169.1	1.8e-53
YP_009201709.1	YP_003856956.1	136.7	5.3e-40
YP_009201709.1	YP_009951554.1	100.1	4.3e-27
YP_009808471.1	YP_007673627.1	146.7	2.2e-45
YP_009808471.1	YP_009037213.1	85.1	4.3e-21
YP_009808471.1	YP_009277061.1	73.2	5.6e-16
YP_009808471.1	YP_009618539.1	156.8	2.6e-49
YP_009808471.1	YP_009794751.1	156.8	2.6e-49
YP_009808471.1	YP_009609823.1	80.5	3.5e-19
YP_009808471.1	YP_009819618.1	271.6	9.4e-95
YP_009808471.1	YP_009621234.1	142.1	1.4e-43
YP_009808471.1	YP_010101927.1	138.3	5.2e-42
YP_009808471.1	YP_010102580.1	138.3	5.2e-42
YP_009808471.1	YP_010105932.1	138.3	5.2e-42
YP_009808471.1	YP_010105741.1	138.3	5.2e-42
YP_009808471.1	YP_010108193.1	138.3	5.2e-42
YP_009808471.1	YP_010108770.1	138.3	5.2e-42
YP_009808471.1	YP_010108383.1	138.3	5.2e-42
YP_009808471.1	YP_010108575.1	138.3	5.2e-42
YP_009808471.1	YP_009621440.1	136.7	1.8e-41
YP_009808471.1	YP_010114324.1	136.7	1.8e-41
YP_009808471.1	YP_010102765.1	135.6	5.2e-41
YP_009808471.1	YP_009222887.1	133.7	3.7e-40
YP_009808471.1	YP_010107997.1	132.9	7.4e-40
YP_009808471.1	YP_004893914.1	124.4	1.3e-36
YP_009808471.1	YP_009149015.1	124.4	1.3e-36
YP_009808471.1	YP_009984749.1	122.1	1.1e-35
YP_009808471.1	YP_009984456.1	121.3	2.1e-35
YP_009808471.1	YP_009985641.1	121.3	2.1e-35
YP_009808471.1	YP_009987300.1	120.9	3e-35
YP_009808471.1	YP_009854173.1	103.6	3.4e-26
YP_001469564.1	YP_239047.1	210.7	5.6e-66
YP_001469564.1	NP_944160.1	206.5	3.5e-64
YP_001469564.1	YP_656424.1	245.4	1.8e-79
YP_001469564.1	YP_238927.1	244.6	3.1e-79
YP_001469564.1	YP_003858371.1	210.7	5.6e-66
YP_001469564.1	YP_003579941.1	219.2	2.7e-69
YP_001469564.1	YP_003969084.1	166.8	7.9e-51
YP_001469564.1	YP_003969353.1	214.5	2.4e-67
YP_001469564.1	YP_009011693.1	213.8	4.9e-67
YP_001469564.1	YP_007348710.1	219.9	1.3e-69
YP_001469564.1	YP_006986348.1	210.7	5.6e-66
YP_001469564.1	YP_007010872.1	246.5	6.2e-80
YP_001469564.1	YP_007010234.1	223.0	1.2e-70
YP_001469564.1	YP_009217603.1	245.0	2.5e-79
YP_001469564.1	YP_008060596.1	214.9	1.2e-67
YP_001469564.1	YP_009097673.1	212.6	9.9e-67
YP_001469564.1	YP_009218665.1	213.4	5e-67
YP_001469564.1	YP_009194317.1	220.3	9.4e-70
YP_001469564.1	YP_009607269.1	219.5	1.9e-69
YP_001469564.1	YP_009606987.1	220.3	9.4e-70
YP_001469564.1	YP_009194889.1	207.6	8.9e-65
YP_001469564.1	YP_009595334.1	156.8	4.4e-45
YP_001469564.1	YP_009285608.1	212.6	9.9e-67
YP_001469564.1	YP_009831371.1	210.3	7.9e-66
YP_001469564.1	YP_009626309.1	218.4	5.3e-69
YP_001469564.1	YP_009831089.1	208.4	4.5e-65
YP_001469564.1	YP_009599572.1	158.7	1.3e-45
YP_001469564.1	YP_009791490.1	165.6	2.4e-48
YP_001469564.1	YP_009834381.1	224.9	2e-71
YP_001469564.1	YP_009613040.1	245.0	2.5e-79
YP_001469564.1	YP_009835014.1	224.9	2e-71
YP_001469564.1	YP_009615194.1	102.1	4.5e-25
YP_001469564.1	YP_010088995.1	53.1	1.1e-09
YP_001469564.1	YP_010093016.1	209.5	2.2e-65
YP_001469564.1	YP_010095648.1	246.1	8.8e-80
YP_001469564.1	YP_010095942.1	246.5	6.2e-80
YP_001469564.1	NP_899338.1	171.8	1e-50
YP_001469564.1	YP_008125289.1	183.7	2.1e-55
YP_001469564.1	YP_009006385.1	176.8	1.2e-52
YP_001469564.1	YP_009201273.1	177.2	8.3e-53
YP_001469564.1	NP_891791.1	599.7	1.8e-219
YP_001469564.1	YP_009118905.1	600.9	6.2e-220
YP_001469564.1	YP_010097242.1	600.1	1.3e-219
YP_001469564.1	YP_002922299.1	599.4	2.5e-219
YP_001469564.1	YP_009602181.1	599.4	2.5e-219
YP_001469564.1	YP_009211660.1	260.0	4.6e-85
YP_001469564.1	YP_009855935.1	256.1	1e-83
YP_001469564.1	YP_010089819.1	254.2	6.6e-83
YP_001469564.1	YP_009126161.1	252.7	2.1e-82
YP_001469564.1	YP_009615696.1	252.7	2.1e-82
YP_001469564.1	YP_009850416.1	251.9	4.8e-82
YP_001469564.1	YP_009190395.1	251.5	6.6e-82
YP_001469564.1	YP_009836872.1	251.1	9.7e-82
YP_001469564.1	YP_010093270.1	250.8	1.3e-81
YP_001469564.1	YP_007501251.1	250.0	2.4e-81
YP_001469564.1	YP_010096489.1	250.0	2.7e-81
YP_001469564.1	YP_009147944.1	249.6	3.4e-81
YP_001469564.1	YP_010106030.1	249.6	4.1e-81
YP_001469564.1	YP_007236053.1	249.6	4.3e-81
YP_001469564.1	YP_010068127.1	249.2	5.7e-81
YP_001469564.1	YP_009148660.1	249.2	5.8e-81
YP_001469564.1	YP_010072510.1	249.2	5.8e-81
YP_001469564.1	YP_009207410.1	248.8	8e-81
YP_001469564.1	YP_007007625.1	160.6	2.7e-46
YP_001469564.1	YP_007677911.1	246.5	6.2e-80
YP_001469564.1	YP_009150439.1	152.5	3.1e-43
YP_001469564.1	YP_009102030.1	157.9	2.6e-45
YP_001469564.1	YP_009876858.1	112.5	9.8e-28
YP_001469564.1	NP_932555.1	244.6	3.1e-79
YP_009813173.1	YP_009103586.1	165.6	9.6e-53
YP_009813173.1	YP_009304855.1	280.0	4.5e-98
YP_009813173.1	YP_009813966.1	278.5	1.8e-97
YP_009813173.1	YP_009813337.1	285.8	2.3e-100
YP_009813173.1	YP_007673627.1	113.2	3.7e-32
YP_009813173.1	YP_004893914.1	111.3	2e-31
YP_009813173.1	YP_009149015.1	111.3	2e-31
YP_009813173.1	YP_009985323.1	110.2	5.4e-31
YP_009813173.1	YP_009623432.1	109.4	1.2e-30
YP_009813173.1	YP_009012426.1	108.6	2.2e-30
YP_009813173.1	YP_007236432.2	107.1	9.9e-30
YP_009813173.1	YP_008857187.1	107.1	9.9e-30
YP_009813173.1	YP_009199962.1	107.1	9.9e-30
YP_009813173.1	YP_009186913.1	107.1	9.9e-30
YP_009813173.1	YP_009273780.1	107.1	9.9e-30
YP_009813173.1	YP_009291217.1	106.7	1.4e-29
YP_009813173.1	YP_008859357.1	106.3	2e-29
YP_009813173.1	YP_009287447.1	106.3	2e-29
YP_009813173.1	YP_009224716.1	106.3	2e-29
YP_009813173.1	YP_009859153.1	105.5	3.6e-29
YP_009813173.1	YP_009835812.1	104.8	7.1e-29
YP_009813173.1	YP_009819618.1	104.8	7.6e-29
YP_009813173.1	YP_009187718.1	104.0	1.4e-28
YP_009813173.1	YP_009832593.1	104.0	1.4e-28
YP_010065588.1	YP_003934859.1	508.8	3.4e-183
YP_010065588.1	YP_004415113.1	617.8	2.7e-226
YP_010065588.1	YP_007004595.1	627.9	2.9e-230
YP_010065588.1	YP_006986775.1	627.5	4.1e-230
YP_010065588.1	YP_009149463.1	627.5	4.1e-230
YP_010065588.1	YP_009153819.1	627.1	5.8e-230
YP_010065588.1	YP_010066870.1	628.2	2e-230
YP_010065588.1	YP_009210139.1	631.7	8.6e-232
YP_010065588.1	YP_009625436.1	631.7	8.6e-232
YP_010065588.1	YP_009197236.1	624.4	6.8e-229
YP_010065588.1	YP_009290484.1	622.5	3.9e-228
YP_010065588.1	YP_009281552.1	627.1	5.8e-230
YP_010065588.1	YP_010073152.1	630.9	1.7e-231
YP_010065588.1	YP_002854554.1	617.1	5.1e-226
YP_010065588.1	YP_010090688.1	284.3	9.8e-95
YP_010065588.1	YP_009619150.1	625.2	3.4e-229
YP_010065588.1	YP_010073595.1	521.9	2.2e-188
YP_010065588.1	YP_010095180.1	363.2	9.7e-126
YP_010065588.1	YP_010094469.1	625.2	3.4e-229
YP_010065588.1	YP_010066435.1	525.4	9.7e-190
YP_010065588.1	YP_010072232.1	530.4	1e-191
YP_010065588.1	YP_010071423.1	624.4	6.8e-229
YP_010065588.1	YP_010068127.1	526.6	3.4e-190
YP_010065588.1	YP_010076024.1	627.9	2.9e-230
YP_010065588.1	YP_010075487.1	526.9	2.4e-190
YP_010065588.1	YP_010074075.1	624.4	6.8e-229
YP_010065588.1	YP_010074548.1	620.9	1.6e-227
YP_010065588.1	YP_010106030.1	625.9	1.7e-229
YP_010065588.1	YP_010065861.1	631.7	8.6e-232
YP_010065588.1	YP_010075759.1	631.7	8.6e-232
YP_010065588.1	YP_010072781.1	625.5	2.4e-229
YP_010065588.1	YP_010075111.1	619.8	4.6e-227
YP_010065588.1	YP_803158.1	619.4	6.5e-227
YP_010070047.1	YP_010067101.1	606.3	9.9e-222
YP_010070047.1	YP_001595345.1	576.2	7.4e-210
YP_010070047.1	YP_003734361.1	569.7	3e-207
YP_010070047.1	YP_007004226.1	571.6	5.2e-208
YP_010070047.1	YP_009102692.1	607.8	2.4e-222
YP_010070047.1	YP_009148660.1	620.5	2.3e-227
YP_010070047.1	YP_009111036.1	619.8	4.6e-227
YP_010070047.1	YP_009205917.1	575.9	1.1e-209
YP_010070047.1	YP_009202956.1	572.8	1.8e-208
YP_010070047.1	YP_009324115.1	577.0	3.7e-210
YP_010070047.1	YP_009323423.1	578.9	6.6e-211
YP_010070047.1	YP_010074941.1	619.4	6.5e-227
YP_010070047.1	YP_010077100.1	618.2	1.9e-226
YP_010070047.1	YP_010073595.1	523.5	5.4e-189
YP_010070047.1	YP_010065279.1	616.3	1.1e-225
YP_010070047.1	YP_010094197.1	576.2	7.7e-210
YP_010070047.1	YP_010066435.1	530.4	1e-191
YP_010070047.1	YP_010094728.1	575.1	2.2e-209
YP_010070047.1	YP_010072232.1	531.9	2.5e-192
YP_010070047.1	YP_010071691.1	65.1	3.6e-14
YP_010070047.1	YP_010071692.1	499.6	2.3e-180
YP_010070047.1	YP_010072890.1	611.7	7.3e-224
YP_010070047.1	YP_010100355.1	575.5	1.6e-209
YP_010070047.1	YP_010100448.1	570.9	1.1e-207
YP_010070047.1	YP_010070988.1	621.7	7.9e-228
YP_010070047.1	YP_010072510.1	620.2	3.2e-227
YP_010070047.1	YP_010074422.1	617.8	2.7e-226
YP_010070047.1	YP_010071967.1	615.1	3.1e-225
YP_010070047.1	YP_009619150.1	614.0	8.9e-225
YP_010070047.1	YP_010066010.1	613.6	1.3e-224
YP_010070047.1	YP_009625031.1	613.6	1.3e-224
YP_010070047.1	YP_009180719.1	613.6	1.3e-224
YP_010070047.1	YP_004415113.1	613.2	1.8e-224
YP_010070047.1	YP_009153819.1	612.8	2.5e-224
YP_010070047.1	YP_009614870.1	612.8	2.5e-224
YP_010070047.1	YP_010075111.1	612.8	2.5e-224
YP_010070047.1	YP_010076024.1	612.8	2.5e-224
YP_010070047.1	YP_010067366.1	612.5	3.6e-224
YP_010070047.1	YP_009290484.1	612.1	5.1e-224
YP_010070047.1	YP_010066870.1	611.3	1e-223
YP_010070047.1	YP_007004595.1	610.5	2.1e-223
YP_010070047.1	YP_010106030.1	610.5	2.1e-223
YP_010070047.1	YP_010068127.1	527.3	1.7e-190
YP_010070047.1	YP_010075487.1	528.5	5.9e-191
ERR843963__NODE_9_length_22991_cov_6.762121_31	ERR843942__NODE_1_length_66462_cov_22.158327_76	51.6	1.5e-06
ERR843963__NODE_9_length_22991_cov_6.762121_31	ERR844073__NODE_50_length_7066_cov_6.836115_9	476.5	2.6e-170
ERR843963__NODE_9_length_22991_cov_6.762121_31	ERR843977__NODE_92_length_6280_cov_5.245944_8	468.0	6.3e-167
ERR843963__NODE_9_length_22991_cov_6.762121_31	ERR844036__NODE_1_length_150835_cov_137.051970_78	375.2	3e-130
ERR843963__NODE_9_length_22991_cov_6.762121_31	ERR844010__NODE_2_length_152158_cov_215.774554_111	292.7	2.2e-98
ERR843963__NODE_9_length_22991_cov_6.762121_31	YP_009910801.1	190.3	7e-60
ERR843963__NODE_9_length_22991_cov_6.762121_31	ERR844058__NODE_1_length_99061_cov_1233.364847_57	188.3	4e-59
ERR843963__NODE_9_length_22991_cov_6.762121_31	ERR844065__NODE_3_length_83983_cov_58.097357_49	186.8	1.6e-58
ERR843963__NODE_9_length_22991_cov_6.762121_31	ERR844064__NODE_18_length_8603_cov_4.149041_8	180.3	9.1e-56
ERR843963__NODE_9_length_22991_cov_6.762121_31	YP_009004236.1	144.1	5.5e-40
ERR843963__NODE_9_length_22991_cov_6.762121_31	YP_009622720.1	138.3	7.1e-38
ERR843963__NODE_9_length_22991_cov_6.762121_31	YP_003857205.1	136.7	4e-37
ERR843963__NODE_9_length_22991_cov_6.762121_31	YP_009280084.1	136.0	6.5e-37
ERR843963__NODE_9_length_22991_cov_6.762121_31	YP_010105474.1	136.0	7.9e-37
ERR843963__NODE_9_length_22991_cov_6.762121_31	YP_010100968.1	135.6	1.1e-36
ERR843963__NODE_9_length_22991_cov_6.762121_31	YP_010114773.1	134.8	2.2e-36
ERR843963__NODE_9_length_22991_cov_6.762121_31	YP_010101380.1	134.0	4.2e-36
ERR843963__NODE_9_length_22991_cov_6.762121_31	YP_009635920.1	133.3	8.3e-36
